Name	District	Population	CityType
µguas Lindas de Goi s	Goi s	89,200	Big
Angra dos Reis	Rio de Janeiro	96,864	Big
Araguari	Minas Gerais	98,399	Big
Bacabal	MaranhÆo	93,121	Big
Barra do Pira¡	Rio de Janeiro	89,388	Big
Bento Gon‡alves	Rio Grande do Sul	89,254	Big
Birigui	SÆo Paulo	94,685	Big
Camet 	Par 	92,779	Big
Campo Largo	Paran 	91,203	Big
Conselheiro Lafaiete	Minas Gerais	97,507	Big
Coronel Fabriciano	Minas Gerais	95,933	Big
Corumb 	Mato Grosso do Sul	90,111	Big
Crato	Cear 	98,965	Big
Eun polis	Bahia	96,610	Big
Gua¡ba	Rio Grande do Sul	92,224	Big
Ituiutaba	Minas Gerais	90,507	Big
Jacobina	Bahia	96,131	Big
Ji-Paran 	Rond“nia	93,346	Big
Ourinhos	SÆo Paulo	96,291	Big
Palho‡a	Santa Catarina	89,465	Big
Parnamirim	Rio Grande do Norte	96,210	Big
Passos	Minas Gerais	98,570	Big
Patos	Para¡ba	90,519	Big
Paulo Afonso	Bahia	97,291	Big
Pinhais	Paran 	98,198	Big
Po 	SÆo Paulo	89,236	Big
Salto	SÆo Paulo	96,348	Big
Santana do Livramento	Rio Grande do Sul	91,779	Big
SÆo Jos‚ de Ribamar	MaranhÆo	98,318	Big
SÆo Louren‡o da Mata	Pernambuco	91,999	Big
SertÆozinho	SÆo Paulo	98,140	Big
Tatu¡	SÆo Paulo	93,897	Big
Toledo	Paran 	99,387	Big
Votorantim	SÆo Paulo	91,777	Big
Abaetetuba	Par 	111,258	Huge
Alagoinhas	Bahia	126,820	Huge
Alvorada	Rio Grande do Sul	175,574	Huge
Americana	SÆo Paulo	177,409	Huge
Ananindeua	Par 	400,940	Huge
An polis	Goi s	282,197	Huge
Aparecida de Goiƒnia	Goi s	324,662	Huge
Apucarana	Paran 	105,114	Huge
Aracaju	Sergipe	445,555	Huge
Ara‡atuba	SÆo Paulo	169,303	Huge
Aragua¡na	Tocantins	114,948	Huge
Arapiraca	Alagoas	178,988	Huge
Araraquara	SÆo Paulo	174,381	Huge
Araras	SÆo Paulo	101,046	Huge
Atibaia	SÆo Paulo	100,356	Huge
Bag‚	Rio Grande do Sul	120,793	Huge
Barbacena	Minas Gerais	113,079	Huge
Barra Mansa	Rio de Janeiro	168,953	Huge
Barreiras	Bahia	127,801	Huge
Barretos	SÆo Paulo	104,156	Huge
Barueri	SÆo Paulo	208,426	Huge
Bauru	SÆo Paulo	313,670	Huge
Belford Roxo	Rio de Janeiro	425,194	Huge
Betim	Minas Gerais	302,108	Huge
Blumenau	Santa Catarina	244,379	Huge
Boa Vista	Roraima	167,185	Huge
Botucatu	SÆo Paulo	107,663	Huge
Bragan‡a Paulista	SÆo Paulo	116,929	Huge
Cabo de Santo Agostinho	Pernambuco	149,964	Huge
Cabo Frio	Rio de Janeiro	119,503	Huge
Cachoeirinha	Rio Grande do Sul	103,240	Huge
Cachoeiro de Itapemirim	Esp¡rito Santo	155,024	Huge
Cama‡ari	Bahia	149,146	Huge
Camaragibe	Pernambuco	118,968	Huge
Campina Grande	Para¡ba	352,497	Huge
Campos dos Goytacazes	Rio de Janeiro	398,418	Huge
Canoas	Rio Grande do Sul	294,125	Huge
Carapicu¡ba	SÆo Paulo	357,552	Huge
Cariacica	Esp¡rito Santo	319,033	Huge
Caruaru	Pernambuco	244,247	Huge
Cascavel	Paran 	237,510	Huge
Castanhal	Par 	127,634	Huge
Catanduva	SÆo Paulo	107,761	Huge
Caucaia	Cear 	238,738	Huge
